issue_id,aspect_name,subcategory_name
340,Root Causes,Null Object Check Omission
340,Symptom,Crashes
340,Trigger Conditions,Triggered by Any Login Action 
68,Root Causes,Lack of Necessary State or Stage
68,Symptom,Authentication Failures
68,Trigger Conditions,Specific login approach
163,Root Causes,Improper Error State Handling
163,Symptom,Inaccurate error message displayed
163,Trigger Conditions,Communicating with Cloud failure 
163,Trigger Conditions,Specific login approach
48,Root Causes,Lack of Necessary State or Stage
48,Symptom,Crashes
48,Trigger Conditions,Settings Change 
48,Trigger Conditions,Specific Device
363,Root Causes,API Misuse
363,Symptom,Inaccurate error message displayed
363,Trigger Conditions,Triggered by Any Login Action 
354,Root Causes,Null Object Check Omission
354,Symptom,Crashes
354,Trigger Conditions,Account Management Operation
141,Root Causes,Incorrect Branch or State Consequence
141,Symptom,Incorrect Navigation Flow
141,Trigger Conditions,Specific login approach
155,Root Causes,API Misuse
155,Symptom,Authentication Failures
155,Trigger Conditions,Specific Input 
155,Trigger Conditions,Specific login approach
27,Root Causes,API Misuse
27,Symptom,Crashes
27,Trigger Conditions,Specific login approach
255,Root Causes,Lack of Necessary State or Stage
255,Symptom,Incorrect Navigation Flow
255,Trigger Conditions,Account Management Operation
215,Root Causes,Improper Error State Handling
215,Symptom,Inaccurate error message displayed
215,Trigger Conditions,Specific Input 
81,Root Causes,Improper State Saving or Restoration
81,Symptom,Crashes
81,Trigger Conditions,Orientation change
213,Root Causes,Improper State Saving or Restoration
213,Symptom,Incorrect Navigation Flow
213,Trigger Conditions,Orientation change
295,Root Causes,Improper Encoding Algorithm
295,Symptom,Inaccurate error message displayed
295,Trigger Conditions,Account Management Operation
181,Root Causes,Improper Encoding Algorithm
181,Symptom,Authentication Failures
181,Trigger Conditions,Specific Input 
296,Root Causes,Improper Error State Handling
296,Symptom,Crashes
296,Trigger Conditions,Account Management Operation
231,Root Causes,Improper State Saving or Restoration
231,Symptom,Crashes
231,Trigger Conditions,Account Management Operation
20,Root Causes,Improper Error State Handling
20,Symptom,Authentication Failures
20,Trigger Conditions,Communicating with Cloud failure 
127,Root Causes,Improper Error State Handling
127,Symptom,Inaccurate error message displayed
127,Trigger Conditions,Specific login approach
274,Root Causes,Improper Error State Handling
274,Symptom,Crashes
274,Trigger Conditions,Specific Input 
108,Root Causes,Improper Encoding Algorithm
108,Symptom,Crashes
108,Trigger Conditions,Specific Input 
198,Root Causes,API Misuse
198,Symptom,Account Management function breaks
198,Trigger Conditions,Communicating with Cloud failure 
198,Trigger Conditions,Repetitive Authentication Prompts 
359,Root Causes,Null Object Check Omission
359,Symptom,Crashes
359,Trigger Conditions,Specific Input 
359,Trigger Conditions,Specific login approach
205,Root Causes,Incorrect Branch or State Consequence
205,Symptom,Incorrect Navigation Flow
205,Trigger Conditions,Settings Change 
205,Trigger Conditions,Specific Input 
47,Root Causes,Improper Error State Handling
47,Symptom,Inaccurate error message displayed
47,Trigger Conditions,Specific Input 
324,Root Causes,Improper State Saving or Restoration
324,Symptom,Authentication Failures
324,Trigger Conditions,Account Management Operation
324,Trigger Conditions,Repetitive Authentication Prompts 
96,Root Causes,Lack of Necessary State or Stage
96,Symptom,Crashes
96,Trigger Conditions,Account Management Operation
225,Root Causes,Lack of Necessary State or Stage
225,Symptom,Account Management function breaks
225,Trigger Conditions,Account Management Operation
34,Root Causes,Lack of Necessary State or Stage
34,Symptom,Account Management function breaks
34,Trigger Conditions,Account Management Operation
360,Root Causes,API Misuse
360,Symptom,Crashes
360,Trigger Conditions,Specific login approach
325,Root Causes,Lack of Necessary State or Stage
325,Symptom,Authentication Failures
325,Trigger Conditions,Account Management Operation
325,Trigger Conditions,Triggered by Any Login Action 
358,Root Causes,Null Object Check Omission
358,Symptom,Crashes
358,Trigger Conditions,Triggered by Any Login Action 
135,Root Causes,Lack of Necessary State or Stage
135,Symptom,Incorrect Navigation Flow
135,Trigger Conditions,Account Management Operation
135,Trigger Conditions,Specific login approach
194,Root Causes,Null Object Check Omission
194,Symptom,Crashes
194,Trigger Conditions,Specific Device
301,Root Causes,Improper State Saving or Restoration
301,Symptom,Incorrect Navigation Flow
301,Trigger Conditions,Orientation change
69,Root Causes,Incorrect Branch or State Consequence
69,Symptom,Authentication Failures
69,Trigger Conditions,Specific login approach
41,Root Causes,API Misuse
